GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
000131,96.3,31.673464017892385,L,,Uly/Ko/NE,,,,,2.0404,Interacting,L,,,,17.9,,,UV,,,,,0.015,,,,,,"Wainwright 2005, Andersen 2000"
000210,9.0,4.875406283856988,L,,BeppoSAX,,,,,0.846,,L,,,,2.28,,,[OII],1.1200000000000003e-09,,,0.3235936569296282,0.0665540786527418,0.0837866208744844,E/KK04,1995262314.9688828,343494292.2077856,412970971.0155022,Leibler 2010
000301C,87.0,28.61465596632022,L,,BeppoSAX,,,,,2.0404,Irregular,L,0.622,,0.063,,,,,,,,,,,,,,,"Bloom 2002, Li 2016, Wainwright 2005"
000418,2.288,1.0802644003777149,L,,BATSE,,,,,1.118,Elliptical,L,0.202,,0.564,10.35,,,[OII],5.690000000000001e-09,,,0.5128613839913648,,,E/KK04,1995262314.9688828,501444120.05357766,692185572.8995996,"Bloom 2002, Conselice 2005, Leibler 2010"
000911,500.0,242.9543245869777,L,SN,Uly/Ko/NE,,,,,1.058,,L,,,,1.57,,,[OII],7.5e-10,,,0.2570395782768864,0.1924741553734208,0.7662534140038677,E/KK04,794328234.7242821,941142509.3571568,1712597832.3515718,"Leibler 2010, SNTABLE"
000926,25.0,8.229368971987228,L,,WFPC2,,,,,2.0379,Spiral,L,7.2,,,4.46,0.28,0.28,Lya,1.35e-09,,,0.5011872336272722,,,A/Zn,3311311214.8259077,2832681122.5032697,19597365312.85179,"Conselice 2005, Wainwright 2005"
010222,74.0,29.838709677419356,L,,WFPC2,,,,,1.48,Interacting,L,5.6,,,0.34,,,UV,5.1e-10,,,,,,,398107170.5534969,297615393.2374947,541570986.6098166,"Conselice 2005, Leibler 2010"
010921,34.8,23.983459682977255,L,,HETE2,,,,,0.451,Spiral,L,5.3,,,0.7,,0.32,O[II],5.1e-10,,,0.354813389233576,0.0729750961071299,0.0918702029173874,log(O/H),3630780547.7010174,812397616.4365568,836055373.8086176,"Conselice 2005, Levesque 2010, Mannucci 2011, Wainwright 2005"
011030,1400.0,350.0,L,,STIS,,,,,3.0,Spiral,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005"
011121,47.0,34.50807635829662,L,SN,WFPC2,,,,,0.362,Spiral,L,16.0,,,3.3,,0.05,H alpha,3.5e-10,,,1.4791083881682072,0.3826301920250243,0.1804785192693558,log(O/H),3162277660.1683793,2091383967.9448967,3093383569.8678064,"Conselice 2005, Leibler 2010, Mannucci 2011, Wainwright 2005, SNTABLE"
011211,51.0,16.24203821656051,L,,WFPC2,,,,,2.14,Interacting,L,12.3,,,0.8,0.2,0.2,Lya,1.4000000000000003e-10,,,0.0602559586074357,,,A/Si,5888436553.555884,3893174238.5870094,11489571733.937878,"Conselice 2005, Wainwright 2005"
020124A,51.17,12.18913768461172,L,,HETE-2,,,,,3.198,,L,,,,0.06,,,UV,3.1488447614986394e-11,,,,0.004,,,1905460717.9632444,,,Li 2016
020127,6.99,2.410344827586207,L,,STIS,,,,,1.9,Irregular,L,,,,2.7,,,UV,1e-11,,,,,,,323593656929.6281,,,"Conselice 2005, Wainwright 2005"
020305,250.0,65.78947368421053,L,SN,HETE2,,,,,2.8,Interacting,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005, SNTABLE"
020321,70.0,,L,,BeppoSAX,,,,,,Interacting,,,,,,,,,,,,,,,,,,,"Wainwright 2005, in't Zand 2004"
020322,11.0,,L,,STIS,,,,,,Elliptical,L,,,,,,,,,,,,,,,,,,Conselice 2005
020331,179.4,,L,,STIS,,,,,,Elliptical,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005"
020405,40.0,23.65464222353637,L,SN,WFPC2,,,,,0.691,Interacting,L,26.0,,,14.1,,0.29,H beta,7.600000000000001e-10,,,0.6918309709189363,0.2553151386787697,0.2201798684369714,log(O/H),5623413251.903491,2461135591.7351117,4376586748.096509,"Conselice 2005, Levesque 2010, Mannucci 2011, SNTABLE"
020410,1500.0,,L,SN,STIS,,,,,,Elliptical,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005, SNTABLE"
